File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\GlobalStatus.java,174,44,21,5,29,0,101,355,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\Resource.java,50,6,5,0,7,0,37,184,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\ResourceManager.java,55,8,7,0,8,0,39,174,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\ResourceManagerInbound.java,57,7,6,0,6,0,44,231,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\ResourceManagerOutbound.java,69,10,7,0,7,0,52,243,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\model\TransactionManager.java,75,10,8,0,8,0,57,311,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\AbstractIdentifyRequest.java,254,133,102,21,30,1,91,298,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\AbstractIdentifyResponse.java,149,77,59,12,21,0,51,179,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\AbstractMessage.java,325,173,132,36,21,0,131,382,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\AbstractResultMessage.java,159,94,69,20,18,1,47,173,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\HeartbeatMessage.java,48,15,11,1,6,0,27,126,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\IncompatibleVersionException.java,35,6,4,0,4,0,25,125,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MergedMessage.java,35,5,4,0,4,0,26,125,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MergedWarpMessage.java,115,74,57,13,13,0,28,127,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MergeMessage.java,27,3,2,0,3,0,21,114,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MergeResultMessage.java,124,71,54,12,14,0,39,161,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MessageCodec.java,50,7,6,0,6,0,37,155,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\MessageFuture.java,117,44,33,6,13,0,60,215,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RegisterRMRequest.java,166,107,78,23,19,0,40,172,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RegisterRMResponse.java,52,16,11,1,7,0,29,139,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RegisterTMRequest.java,72,25,15,2,10,0,37,176,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RegisterTMResponse.java,52,16,11,1,7,0,29,139,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\ResultCode.java,63,16,10,4,7,0,40,157,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\RpcMessage.java,136,43,31,6,17,0,76,236,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\Version.java,79,20,15,2,13,0,46,180,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractBranchEndRequest.java,265,143,112,25,32,0,90,275,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractBranchEndResponse.java,167,89,69,11,19,0,59,199,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractGlobalEndRequest.java,130,70,53,10,16,0,44,165,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractGlobalEndResponse.java,80,35,26,2,12,0,33,142,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractTransactionRequest.java,45,9,8,0,7,0,29,136,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractTransactionRequestToRM.java,47,9,7,0,7,0,31,137,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractTransactionRequestToTC.java,46,9,7,0,6,0,31,136,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\AbstractTransactionResponse.java,76,34,24,4,12,0,30,139,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\BranchCommitRequest.java,40,14,9,2,6,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\BranchCommitResponse.java,33,8,5,1,5,0,20,110,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\BranchRegisterRequest.java,262,154,117,25,33,0,75,244,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\BranchRegisterResponse.java,85,41,30,3,14,0,30,136,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\BranchReportRequest.java,264,145,111,21,33,0,86,269,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\BranchReportResponse.java,31,7,4,1,4,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\BranchRollbackRequest.java,39,13,8,2,6,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\BranchRollbackResponse.java,33,8,5,1,5,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalBeginRequest.java,129,68,50,9,21,0,40,157,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalBeginResponse.java,121,62,45,9,19,0,40,157,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalCommitRequest.java,38,13,8,2,5,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalCommitResponse.java,31,7,4,1,4,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalLockQueryRequest.java,41,14,9,2,7,0,20,112,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalLockQueryResponse.java,65,25,16,2,10,0,30,134,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalRollbackRequest.java,38,13,8,2,5,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalRollbackResponse.java,31,7,4,1,4,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalStatusRequest.java,39,13,8,2,6,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\GlobalStatusResponse.java,31,7,4,1,4,0,20,111,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\RMInboundHandler.java,42,5,4,0,5,0,32,148,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\protocol\transaction\TCInboundHandler.java,93,12,11,0,12,0,69,294,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\ChannelManager.java,496,363,246,94,52,0,81,332,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\ClientMessageListener.java,36,4,3,0,3,0,29,143,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\ClientMessageSender.java,67,8,7,0,7,0,52,226,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\ClientType.java,63,16,10,4,7,0,40,160,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\DefaultServerMessageListenerImpl.java,209,149,106,14,18,0,42,175,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\Disposable.java,27,4,3,0,3,0,20,107,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\RemotingServer.java,27,3,2,0,3,0,21,114,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\RemotingService.java,37,5,4,0,5,0,27,122,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\RpcContext.java,356,167,120,26,43,0,146,455,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\ServerMessageListener.java,77,13,10,0,10,0,54,238,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\ServerMessageSender.java,67,10,8,0,8,0,49,220,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\TransactionMessageHandler.java,47,7,6,0,7,0,33,163,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\AbstractRpcRemoting.java,528,333,245,38,40,0,155,501,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\AbstractRpcRemotingClient.java,504,371,257,46,39,0,94,336,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\AbstractRpcRemotingServer.java,194,129,86,9,20,0,45,205,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\ChannelAuthHealthChecker.java,42,14,11,1,4,0,24,122,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\ChannelEventListener.java,60,8,7,0,7,0,45,187,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\DefaultChannelPoolHandler.java,38,11,8,0,6,0,21,116,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\MessageCodecHandler.java,260,183,151,22,28,0,49,229,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\NettyBaseConfig.java,242,133,110,15,26,0,83,253,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\NettyClientConfig.java,451,167,121,35,49,0,235,754,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\NettyPoolableFactory.java,152,108,73,26,18,0,26,134,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\NettyPoolKey.java,167,62,46,7,19,0,86,277,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\NettyServerConfig.java,314,119,77,19,35,0,160,552,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\RegisterCheckAuthHandler.java,48,9,8,0,6,0,33,154,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\RegisterMsgListener.java,52,8,7,0,7,0,37,175,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\RmMessageListener.java,105,61,45,3,13,0,31,141,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\RmRpcClient.java,502,382,267,57,43,0,77,272,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\RpcClientHandler.java,90,51,35,0,15,0,24,124,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\RpcEventLoopGroup.java,47,6,5,0,7,0,34,164,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\RpcServer.java,345,194,133,24,28,0,123,426,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\RpcServerHandler.java,127,51,35,2,22,0,54,213,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\ShutdownHook.java,118,64,45,5,27,0,27,129,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\TmRpcClient.java,415,314,217,43,33,0,68,246,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\TransportProtocolType.java,49,10,6,0,6,0,33,143,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\rpc\netty\TransportServerType.java,44,9,6,0,5,0,30,134,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\main\java\io\seata\core\store\StoreMode.java,52,13,8,3,6,0,33,140,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\context\ContextCoreTest.java,86,45,38,0,9,0,32,133,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\context\RootContextTest.java,96,47,35,0,12,0,37,155,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\BranchCommitRequestTest.java,77,39,33,0,12,0,26,128,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\BranchCommitResponseTest.java,75,42,34,0,9,0,24,122,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\BranchRegisterRequestTest.java,70,38,31,0,8,0,24,118,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\BranchRegisterResponseTest.java,46,17,12,0,6,0,23,119,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\BranchReportRequestTest.java,79,45,36,0,8,0,26,124,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\CodecTest.java,55,23,20,0,9,0,23,115,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\GlobalBeginRequestTest.java,86,37,30,0,13,0,36,150,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\GlobalCommitResponseTest.java,138,69,60,0,27,0,42,169,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\GlobalRollbackRequestTest.java,58,28,23,0,6,0,24,118,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\message\RegisterTMResponseTest.java,47,16,12,0,8,0,23,119,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\model\BranchStatusTest.java,56,27,18,0,9,0,20,113,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\model\BranchTypeTest.java,63,31,20,0,12,0,20,113,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\model\GlobalStatusTest.java,55,26,17,0,9,0,20,113,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\protocol\MergedWarpMessageTest.java,78,47,41,1,10,0,21,117,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\protocol\MergeResultMessageTest.java,87,54,46,1,12,0,21,113,15,98
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\core\src\test\java\io\seata\core\protocol\MessageFutureTest.java,200,123,91,1,18,0,59,236,15,98
