Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka\src\main\java\io\seata\discovery,3,375,269,198,40,45,0,61,337,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka\src\main\java\io\seata\discovery\registry,3,375,269,198,40,45,0,61,337,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-eureka\src\main\java\io\seata\discovery\registry\eureka,3,375,269,198,40,45,0,61,337,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos\src,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos\src\main,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos\src\main\java,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos\src\main\java\io,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos\src\main\java\io\seata,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos\src\main\java\io\seata\discovery,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos\src\main\java\io\seata\discovery\registry,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-nacos\src\main\java\io\seata\discovery\registry\nacos,2,265,190,133,31,24,0,51,248,30,196
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis\src,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis\src\main,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis\src\main\java,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis\src\main\java\io,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis\src\main\java\io\seata,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis\src\main\java\io\seata\discovery,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis\src\main\java\io\seata\discovery\registry,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-redis\src\main\java\io\seata\discovery\registry\redis,3,356,246,184,27,28,0,82,380,45,294
C:\Users\SHUBHAM\Desktop\Projects\seata v5.0\discovery\seata-discovery-zk,2,320,229,162,35,42,0,49,236,30,196
