Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders\run\slimResponder,3,580,475,299,16,85,1,20,159,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders\search,4,451,356,291,7,87,1,8,84,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders\testHistory,7,1557,1342,1055,27,214,14,1,32,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\responders\versions,5,293,229,193,2,58,0,6,66,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\slim,59,5243,3925,2728,135,1138,1,180,814,28,308
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\slim\converters,20,1458,992,706,21,371,0,95,186,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\slim\fixtureInteraction,5,430,300,228,4,96,0,34,113,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\slim\instructions,7,304,223,178,0,81,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\slim\protocol,2,146,113,76,0,29,0,4,44,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\slim\test,1,22,17,14,0,5,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\socketservice,4,279,231,168,6,44,0,4,44,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\testrunner,11,1379,1096,871,22,258,0,25,185,15,140
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\testsystems,42,7502,6398,3505,94,1031,25,73,658,36,396
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\testsystems\fit,2,219,179,140,1,35,0,5,30,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\testsystems\slim,35,6825,5848,3089,89,911,18,66,592,32,352
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\testsystems\slim\result,1,30,24,17,0,6,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\testsystems\slim\tables,24,5714,4964,2477,66,695,18,55,498,30,330
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\testutil,2,77,58,47,0,15,0,4,44,4,44
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\updates,4,386,309,233,11,71,0,6,66,6,66
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\util,7,648,507,363,13,116,0,25,243,8,88
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\wiki,43,4816,3829,2947,48,920,11,67,621,65,559
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\wiki\fs,15,1861,1524,1156,20,327,0,10,110,10,110
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\wiki\refactoring,2,288,228,162,6,58,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\wiki\search,5,676,536,423,6,139,0,1,10,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\wikitext,49,3530,2811,1853,118,625,8,94,341,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\fitnesse\wikitext\parser,48,3459,2757,1810,116,611,7,91,322,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\test\util,7,750,608,457,13,128,0,14,152,13,142
