File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PayCheckRecord.java,22,16,13,1,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PayCheckRecordFixture.java,23,17,12,2,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PrimeData.java,12,7,5,0,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PrimeFactorsFixture.java,40,31,21,4,7,1,2,27,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\PrimeNumberRowFixture.java,24,18,13,2,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\RenderFixture.java,17,8,6,1,5,0,4,30,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\ResponseExaminer.java,195,159,117,31,33,0,3,33,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\ResponseRequester.java,76,57,44,5,17,1,2,23,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\RowEntryExample.java,14,9,5,1,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\RowEntryFixture.java,64,49,39,3,13,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\SavePageRequester.java,22,15,11,0,5,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\SetUp.java,48,38,31,3,8,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\Sleep.java,10,6,4,0,2,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\SplitFixture.java,28,23,18,3,5,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\StringComparator.java,18,13,9,3,5,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\StringFixture.java,69,58,33,20,9,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\SystemExitTable.java,39,27,19,2,10,1,2,3,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\SystemExitTableConfiguration.java,27,21,16,4,6,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\SystemPropertySetterFixture.java,24,16,11,0,6,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\TableFixture.java,66,51,36,7,13,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\TableOrDecisionFixture.java,23,16,13,2,7,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\fixtures\TearDown.java,24,17,14,1,5,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\HtmlElement.java,10,5,4,0,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\HtmlTag.java,193,154,106,28,37,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\HtmlText.java,13,9,6,1,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\HtmlUtil.java,83,62,48,13,17,0,4,30,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\RawHtml.java,17,11,7,1,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\TagGroup.java,22,17,10,3,3,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\template\ClasspathResourceLoader.java,62,44,31,6,14,0,4,27,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\template\EscapeDirective.java,36,30,21,4,6,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\template\HtmlPage.java,110,72,56,4,25,0,13,70,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\template\PageFactory.java,84,64,50,6,18,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\template\PageTitle.java,139,113,88,14,26,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\template\TraverseDirective.java,40,29,20,3,11,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\html\template\TraverseDirectiveTraverser.java,39,30,23,0,9,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\http\ChunkedDataProvider.java,10,5,4,0,5,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\http\ChunkedResponse.java,139,114,75,16,21,0,4,30,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\http\EmptyRequestException.java,11,7,5,0,4,0,0,0,0,0
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\http\HttpException.java,13,7,5,0,4,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\http\InputStreamResponse.java,56,44,32,2,10,0,2,22,2,22
C:\Users\SHUBHAM\Desktop\Projects\fitnesse-20190418\src\fitnesse\http\MockChunkedDataProvider.java,12,6,3,0,5,0,1,3,0,0
